Date,Close,Silver_Close,VNI_Close,USD_VND_Rate,Hseng_Close,Nikkei_Close,Nikkei_Volume,Dax_Close,SP_Close,DJ_Close,DJ_Volume
2018-01-26,1352.1,17.441,1115.64,22710.5,33154.12,23630.0,95510.0,13340.17,2872.9,26616.71,477780000.0
2018-01-29,1340.3,17.127,1109.8,22711.0,32966.89,23610.0,67620.0,13324.48,2853.5,26439.48,421000000.0
2018-01-30,1340.0,17.058,1110.56,22710.0,32607.29,23260.0,87400.0,13197.71,2822.4,26076.89,448330000.0
2018-01-31,1343.1,17.241,1110.36,22710.0,32887.27,23090.0,92630.0,13189.48,2823.8,26149.39,479130000.0
2018-02-01,1347.9,17.155,1099.67,22709.5,32642.09,23440.0,76580.0,13003.9,2822.0,26186.71,410620000.0
2018-02-02,1337.3,16.709,1105.04,22709.5,32601.78,23320.0,93100.0,12785.16,2762.1,25520.96,522880000.0
2018-02-05,1336.5,16.671,1048.71,22707.5,32245.22,22650.0,111460.0,12687.49,2648.9,24345.75,714450000.0
2018-02-06,1329.5,16.58,1011.6,22710.0,30595.42,21510.0,207470.0,12392.66,2695.1,24912.77,823940000.0
2018-02-07,1314.6,16.238,1040.55,22703.5,30323.2,21610.0,237640.0,12590.43,2681.7,24893.35,504620000.0
2018-02-08,1319.0,16.341,1023.25,22699.0,30451.27,21940.0,138220.0,12260.29,2581.0,23860.46,657500000.0
2018-02-09,1315.7,16.139,1003.94,22702.5,29507.42,21360.0,158410.0,12107.48,2619.6,24190.9,735030000.0
2018-02-12,1326.4,16.57,1041.79,22704.5,29459.63,21675.0,61030.0,12282.77,2656.0,24601.27,496610000.0
2018-02-13,1330.4,16.528,1059.73,22712.5,29839.53,21170.0,61030.0,12196.5,2662.9,24640.45,374410000.0
2018-02-14,1358.0,16.878,1087.15,22707.5,30515.6,21180.0,108680.0,12339.16,2698.6,24893.49,431160000.0
2018-02-15,1355.3,16.796,1087.15,22707.5,31115.43,21450.0,117970.0,12346.17,2731.2,25200.37,416780000.0
2018-02-16,1356.2,16.712,1087.15,22707.5,31431.89,21740.0,88140.0,12451.96,2732.2,25219.38,406730000.0
2018-02-19,1331.2,16.438,1087.15,22707.5,31431.89,22100.0,74870.0,12385.6,2701.3,24797.78,456070000.0
2018-02-21,1332.1,16.617,1087.15,22717.5,31431.89,21970.0,78660.0,12470.49,2701.3,24797.78,456070000.0
2018-02-22,1332.7,16.587,1076.03,22722.5,30965.68,21660.0,70220.0,12461.91,2704.0,24962.48,378900000.0
2018-02-23,1330.3,16.484,1102.85,22740.5,31267.17,21910.0,62270.0,12483.79,2747.3,25309.99,335420000.0
2018-02-26,1332.8,16.55,1114.53,22742.0,31498.6,22220.0,62880.0,12527.04,2779.6,25709.27,473360000.0
2018-02-27,1318.6,16.434,1119.61,22750.5,31268.66,22380.0,72300.0,12490.73,2744.3,25410.03,438390000.0
2018-02-28,1317.9,16.407,1121.54,22757.0,30844.72,22100.0,90610.0,12435.85,2713.8,25029.2,451870000.0
2018-03-01,1305.2,16.276,1115.79,22750.5,31044.25,21640.0,86470.0,12190.94,2677.7,24608.98,506280000.0
2018-03-02,1323.4,16.466,1121.21,22761.0,30583.45,21130.0,167290.0,11913.71,2691.2,24538.06,437130000.0
2018-03-05,1319.9,16.412,1093.48,22766.5,29886.39,20990.0,155080.0,12090.87,2720.9,24874.76,383910000.0
2018-03-06,1335.2,16.784,1120.29,22769.5,30510.73,21450.0,183030.0,12113.87,2728.1,24884.12,331770000.0
2018-03-07,1327.6,16.494,1112.26,22759.5,30196.92,21200.0,140220.0,12245.36,2726.8,24801.36,394070000.0
2018-03-08,1321.7,16.5,1124.15,22757.0,30654.52,21380.0,78390.0,12355.57,2739.0,24895.21,327300000.0
2018-03-09,1324.0,16.608,1123.41,22761.0,30996.21,21350.0,100960.0,12346.68,2786.6,25335.74,371570000.0
2018-03-12,1320.8,16.536,1126.29,22758.5,31594.33,21720.0,81150.0,12418.39,2783.0,25178.61,362580000.0
2018-03-13,1327.1,16.627,1133.31,22762.5,31601.45,21800.0,52200.0,12221.03,2765.3,25007.03,447880000.0
2018-03-14,1325.6,16.537,1138.09,22766.5,31435.01,21610.0,65160.0,12237.74,2749.5,24758.12,356830000.0
2018-03-15,1317.8,16.422,1138.76,22767.5,31541.1,21640.0,59960.0,12345.56,2747.3,24873.66,316310000.0
2018-03-16,1312.3,16.272,1150.19,22764.5,31501.97,21440.0,60640.0,12389.58,2752.0,24946.51,654240000.0
2018-03-19,1317.8,16.325,1159.22,22767.0,31513.76,21270.0,62200.0,12217.02,2712.9,24610.91,377990000.0
2018-03-20,1311.9,16.185,1159.39,22774.5,31549.93,21170.0,65530.0,12307.33,2716.9,24727.27,342510000.0
2018-03-21,1321.5,16.419,1169.36,22774.0,31414.52,21183.0,66280.0,12309.15,2711.9,24682.31,343230000.0
2018-03-22,1327.4,16.387,1172.36,22795.0,31071.05,21380.0,66280.0,12100.08,2643.7,23957.89,439280000.0
2018-03-23,1349.9,16.582,1153.59,22803.0,30309.29,20350.0,136320.0,11886.31,2588.3,23533.2,482550000.0
