Date,Dax_Close,Dax_Volume,Dax_Change
12/8/2016,"10,713.43",60.46M,-0.27%
11/8/2016,"10,742.84",73.24M,0.86%
10/8/2016,"10,650.89",101.11M,-0.39%
9/8/2016,"10,692.90",81.92M,2.50%
8/8/2016,"10,432.36",66.87M,0.63%
5/8/2016,"10,367.21",83.14M,1.36%
4/8/2016,"10,227.86",79.20M,0.57%
3/8/2016,"10,170.21",89.97M,0.26%
2/8/2016,"10,144.34",124.50M,-1.80%
1/8/2016,"10,330.52",84.75M,-0.07%
29/07/2016,"10,337.50",94.14M,0.61%
28/07/2016,"10,274.93",95.73M,-0.43%
27/07/2016,"10,319.55",85.86M,0.70%
26/07/2016,"10,247.76",79.53M,0.49%
25/07/2016,"10,198.24",58.55M,0.50%
22/07/2016,"10,147.46",62.72M,-0.09%
21/07/2016,"10,156.21",97.53M,0.14%
20/07/2016,"10,142.01",79.71M,1.61%
19/07/2016,"9,981.24",69.29M,-0.81%
18/07/2016,"10,063.13",70.74M,-0.04%
15/07/2016,"10,066.90",89.99M,-0.01%
14/07/2016,"10,068.30",100.41M,1.39%
13/07/2016,"9,930.71",96.31M,-0.33%
12/7/2016,"9,964.07",101.66M,1.33%
11/7/2016,"9,833.41",80.80M,2.12%
8/7/2016,"9,629.66",97.03M,2.24%
7/7/2016,"9,418.78",91.50M,0.49%
6/7/2016,"9,373.26",134.69M,-1.67%
5/7/2016,"9,532.61",97.70M,-1.82%
4/7/2016,"9,709.09",79.93M,-0.69%
1/7/2016,"9,776.12",101.97M,0.99%
30/06/2016,"9,680.09",136.90M,0.71%
29/06/2016,"9,612.27",115.82M,1.75%
28/06/2016,"9,447.28",136.52M,1.93%
27/06/2016,"9,268.66",209.92M,-3.02%
24/06/2016,"9,557.16",325.19M,-6.82%
23/06/2016,"10,257.03",110.23M,1.85%
22/06/2016,"10,071.06",80.46M,0.55%
21/06/2016,"10,015.54",83.05M,0.54%
20/06/2016,"9,962.02",94.35M,3.43%
17/06/2016,"9,631.36",145.90M,0.85%
16/06/2016,"9,550.47",101.53M,-0.59%
15/06/2016,"9,606.71",95.30M,0.92%
14/06/2016,"9,519.20",102.84M,-1.43%
13/06/2016,"9,657.44",102.33M,-1.80%
10/6/2016,"9,834.62",109.16M,-2.52%
9/6/2016,"10,088.87",108.38M,-1.25%
8/6/2016,"10,217.03",75.77M,-0.69%
7/6/2016,"10,287.68",78.49M,1.65%
6/6/2016,"10,121.08",55.12M,0.18%
3/6/2016,"10,103.26",85.88M,-1.03%
2/6/2016,"10,208.00",63.12M,0.03%
1/6/2016,"10,204.44",79.53M,-0.57%
31/05/2016,"10,262.74",91.59M,-0.68%
30/05/2016,"10,333.23",35.40M,0.46%
27/05/2016,"10,286.31",64.41M,0.13%
26/05/2016,"10,272.71",74.69M,0.66%
25/05/2016,"10,205.21",97.69M,1.47%
24/05/2016,"10,057.31",85.24M,2.18%
23/05/2016,"9,842.29",76.90M,-0.74%
20/05/2016,"9,916.02",78.26M,1.23%
19/05/2016,"9,795.89",93.39M,-1.48%
18/05/2016,"9,943.23",76.85M,0.54%
17/05/2016,"9,890.19",98.58M,-0.63%
13/05/2016,"9,952.90",85.10M,0.92%
12/5/2016,"9,862.12",103.14M,-1.13%
11/5/2016,"9,975.32",97.29M,-0.70%
10/5/2016,"10,045.44",83.01M,0.65%
9/5/2016,"9,980.49",80.19M,1.12%
6/5/2016,"9,869.95",89.84M,0.18%
5/5/2016,"9,851.86",71.08M,0.24%
4/5/2016,"9,828.25",102.91M,-0.99%
3/5/2016,"9,926.77",129.50M,-1.94%
2/5/2016,"10,123.27",62.29M,0.84%
29/04/2016,"10,038.97",112.47M,-2.73%
28/04/2016,"10,321.15",93.06M,0.21%
27/04/2016,"10,299.83",99.07M,0.39%
26/04/2016,"10,259.59",79.90M,-0.34%
25/04/2016,"10,294.35",75.16M,-0.76%
22/04/2016,"10,373.49",83.53M,-0.60%
21/04/2016,"10,435.73",101.41M,0.14%
20/04/2016,"10,421.29",96.32M,0.69%
19/04/2016,"10,349.59",99.46M,2.27%
18/04/2016,"10,120.31",68.56M,0.68%
15/04/2016,"10,051.57",81.97M,-0.42%
14/04/2016,"10,093.65",82.08M,0.67%
13/04/2016,"10,026.10",106.64M,2.71%
12/4/2016,"9,761.47",75.91M,0.81%
11/4/2016,"9,682.99",78.48M,0.63%
8/4/2016,"9,622.26",78.33M,0.96%
7/4/2016,"9,530.62",83.21M,-0.98%
6/4/2016,"9,624.51",92.59M,0.64%
5/4/2016,"9,563.36",93.71M,-2.63%
4/4/2016,"9,822.08",73.48M,0.28%
1/4/2016,"9,794.64",97.64M,-1.71%
31/03/2016,"9,965.51",84.53M,-0.81%
30/03/2016,"10,046.61",89.49M,1.60%
29/03/2016,"9,887.94",67.56M,0.37%
24/03/2016,"9,851.35",73.41M,-1.71%
23/03/2016,"10,022.93",83.25M,0.33%
22/03/2016,"9,990.00",81.63M,0.42%
21/03/2016,"9,948.64",78.95M,-0.02%
18/03/2016,"9,950.80",209.13M,0.59%
17/03/2016,"9,892.20",114.65M,-0.91%
16/03/2016,"9,983.41",93.64M,0.50%
15/03/2016,"9,933.85",77.98M,-0.56%
14/03/2016,"9,990.26",91.44M,1.62%
11/3/2016,"9,831.13",118.96M,3.51%
10/3/2016,"9,498.15",177.50M,-2.31%
9/3/2016,"9,723.09",100.90M,0.31%
8/3/2016,"9,692.82",95.75M,-0.88%
7/3/2016,"9,778.93",78.15M,-0.46%
4/3/2016,"9,824.17",93.45M,0.74%
3/3/2016,"9,751.92",85.25M,-0.25%
2/3/2016,"9,776.62",106.45M,0.61%
1/3/2016,"9,717.16",99.54M,2.34%
29/02/2016,"9,495.40",93.79M,-0.19%
26/02/2016,"9,513.30",98.62M,1.95%
25/02/2016,"9,331.48",98.94M,1.79%
24/02/2016,"9,167.80",102.28M,-2.64%
23/02/2016,"9,416.77",89.94M,-1.64%
22/02/2016,"9,573.59",93.88M,1.98%
19/02/2016,"9,388.05",109.84M,-0.80%
18/02/2016,"9,463.64",123.80M,0.92%
17/02/2016,"9,377.21",128.61M,2.65%
16/02/2016,"9,135.11",106.01M,-0.78%
15/02/2016,"9,206.84",127.18M,2.67%
12/2/2016,"8,967.51",160.47M,2.45%
11/2/2016,"8,752.87",153.64M,-2.93%
10/2/2016,"9,017.29",136.82M,1.55%
9/2/2016,"8,879.40",159.80M,-1.11%
8/2/2016,"8,979.36",154.47M,-3.30%
5/2/2016,"9,286.23",134.86M,-1.14%
4/2/2016,"9,393.36",133.77M,-0.44%
3/2/2016,"9,434.82",125.09M,-1.53%
2/2/2016,"9,581.04",107.86M,-1.81%
1/2/2016,"9,757.88",92.73M,-0.41%
29/01/2016,"9,798.11",117.17M,1.64%
28/01/2016,"9,639.59",117.74M,-2.44%
27/01/2016,"9,880.82",91.93M,0.59%
26/01/2016,"9,822.75",113.63M,0.89%
25/01/2016,"9,736.15",94.41M,-0.29%
22/01/2016,"9,764.88",127.52M,1.99%
21/01/2016,"9,574.16",147.73M,1.94%
20/01/2016,"9,391.64",138.21M,-2.82%
19/01/2016,"9,664.21",102.83M,1.50%
18/01/2016,"9,521.85",91.28M,-0.25%
15/01/2016,"9,545.27",146.40M,-2.54%
14/01/2016,"9,794.20",137.02M,-1.67%
13/01/2016,"9,960.96",93.64M,-0.25%
12/1/2016,"9,985.43",99.68M,1.63%
11/1/2016,"9,825.07",92.55M,-0.25%
8/1/2016,"9,849.34",98.63M,-1.31%
7/1/2016,"9,979.85",128.03M,-2.29%
6/1/2016,"10,214.02",90.47M,-0.93%
5/1/2016,"10,310.10",84.89M,0.26%
4/1/2016,"10,283.44",119.84M,-4.28%
30/12/2015,"10,743.01",35.24M,-1.08%
29/12/2015,"10,860.14",53.35M,1.94%
28/12/2015,"10,653.91",35.34M,-0.69%
23/12/2015,"10,727.64",71.41M,2.28%
22/12/2015,"10,488.75",61.73M,-0.09%
21/12/2015,"10,497.77",79.43M,-1.04%
18/12/2015,"10,608.19",197.07M,-1.21%
17/12/2015,"10,738.12",115.51M,2.57%
16/12/2015,"10,469.26",84.33M,0.18%
15/12/2015,"10,450.38",101.82M,3.07%
14/12/2015,"10,139.34",97.32M,-1.94%
11/12/2015,"10,340.06",105.12M,-2.44%
10/12/2015,"10,598.93",80.13M,0.06%
9/12/2015,"10,592.49",88.87M,-0.76%
8/12/2015,"10,673.60",91.02M,-1.95%
7/12/2015,"10,886.09",72.01M,1.25%
4/12/2015,"10,752.10",111.67M,-0.34%
3/12/2015,"10,789.24",159.63M,-3.58%
2/12/2015,"11,190.02",87.50M,-0.63%
1/12/2015,"11,261.24",111.66M,-1.06%
30/11/2015,"11,382.23",95.92M,0.78%
27/11/2015,"11,293.76",63.97M,-0.24%
26/11/2015,"11,320.77",88.74M,1.35%
